[01.02.2024 21:17:20] [INFO] received Windows console close event; shutting log-core down
[01.02.2024 21:17:56] [INFO] received Windows console close event; shutting log-core down
[01.02.2024 21:18:27] [INFO] received Windows console close event; shutting log-core down
[01.02.2024 21:19:02] [INFO] received Windows console close event; shutting log-core down
[01.02.2024 21:20:51] [INFO] received Windows console close event; shutting log-core down
[01.02.2024 21:27:52] [INFO] received Windows console close event; shutting log-core down
[01.02.2024 21:29:31] [INFO] received Windows console close event; shutting log-core down
[01.02.2024 21:49:08] [INFO] received Windows console close event; shutting log-core down
[01.02.2024 21:54:28] [INFO] received Windows console close event; shutting log-core down
[01.02.2024 21:56:04] [INFO] received Windows console close event; shutting log-core down
[01.02.2024 22:00:29] [INFO] received Windows console close event; shutting log-core down
[01.02.2024 22:08:28] [INFO] received Windows console close event; shutting log-core down
[01.02.2024 22:14:28] [INFO] received Windows console close event; shutting log-core down
[01.02.2024 22:51:44] [INFO] received Windows console close event; shutting log-core down
[01.02.2024 22:54:49] [INFO] received Windows console close event; shutting log-core down
[01.02.2024 23:58:48] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 0:03:07] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 0:05:23] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 0:12:01] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 0:20:38] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 0:23:57] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 0:30:06] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 0:32:27] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 10:09:05] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 10:25:27] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 10:27:19] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 10:28:00] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 10:29:20] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 10:43:59] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 10:54:36] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 11:03:16] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 11:16:29] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 11:27:43] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 11:31:25] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 11:34:55] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 15:53:42] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 15:55:11] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 16:00:31] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 16:09:54] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 16:19:25] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 16:30:01] [INFO] received Windows console close event; shutting log-core down
[02.02.2024 16:33:29] [INFO] received Windows console close event; shutting log-core down
